"_federal_accountability_status"	overall_grade	additional_credit	environment_grade	peer_index_	overall_score	principal	progress_category_score	dbn	_progress_report_grade	school	environment_category_score	performance_category_score	progress_grade	district	progress_report_type	performance_grade	_quality_review_score	school_level_	_school_support_organization
In Good Standing	A	9	A	2.30	86.5	Alex Shub	42.7	02M294		ESSEX STREET ACADEMY	13.4	21.4	A	2	HS	A	Well Developed	High School	ESO
""	A	5	B	2.39	73.3	Matthew Corallo	42.8	02M296		HIGH SCHOOL OF HOSPITALITY MANAGEMENT	7.2	18.3	A	2	HS	A		High School	ESO
In Good Standing																			
In Good Standing	A	8	A	2.82	81	Yvette Sy	43	02M298		PACE HIGH SCHOOL	11.5	18.5	A	2	HS	A	Well Developed	High School	ESO
In Good Standing	B	2	B	2.51	53.3	Lawrence Pendergast	29	02M300		URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE	8.1	14.2	B	2	HS	B	Proficient	High School	ESO
""				2.00		Gillian Smith		02M303		FACING HISTORY SCHOOL, THE				2	HS			High School	ESO
In Good Standing		3															Well Developed		
""				2.46		Joaquin Tamayo		02M305		URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE				2	HS			High School	ESO
In Good Standing		2															Proficient		
""				2.09		John Wenk		02M308		LOWER MANHATTAN ARTS ACADEMY				2	HS			High School	ESO
In Good Standing		8															Well Developed		
In Good Standing	A	3	B	3.99	70.4	Gary Eisinger	37.1	02M312	A	NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES	8.6	21.7	A	2	ESMS	A	Proficient	Middle School	ESO
""				2.34		Elijah Hawkes		02M313		JAMES BALDWIN SCHOOL THE: A SCHOOL FOR EXPEDITIONARY LEARNING				2	HS			Transfer School	ESO
In Good Standing		1.3															Well Developed		
""				2.28		Patricia Minaya		02M316		URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE				2	HS			High School	ESO
In Good Standing		2															Proficient		
In Good Standing	D	0	C	63.68	29.4	Rebecca Marshall	18.4	02M347	C	THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL	5.4	5.6	C	2	ESMS	D	Well Developed	Elementary School	ESO
In Good Standing	B	2	B	2.68	59.4	Shirley H. Matthews	33.9	02M400	B	HIGH SCHOOL FOR ENVIRONMENTAL STUDIES	7.5	16	B	2	HS	B	Well Developed	High School	ICI
Requiring Academic Progress - Year 5	C	0	A	3.61	42	John Pettinato	18.6	02M407	B	INSTITUTE FOR COLLABORATIVE EDUCATION	13.3	10.1	C	2	ESMS	D	Well Developed	Middle School	ESO
Requiring Academic Progress - Year 5	A	0	A	2.73	69	John Pettinato	46.6	02M407	B	INSTITUTE FOR COLLABORATIVE EDUCATION	13.7	8.7	A	2	HS	C	Well Developed	High School	ESO
In Good Standing	A	0	B	3.82	75.5	Keith Ryan	48.7	02M408	B	PROFESSIONAL PERFORMING ARTS HIGH SCHOOL	9	17.8	A	2	ESMS	A	Proficient	Middle School	CLSO
In Good Standing	A	0	A	3.13	68.4	Keith Ryan	38.8	02M408	B	PROFESSIONAL PERFORMING ARTS HIGH SCHOOL	10.5	19.1	A	2	HS	A	Proficient	High School	CLSO
In Corrective Action	C	0	C	2.05	39.3	Eileen Miller Cohen	26.6	02M409	C	COALITION SCHOOL FOR SOCIAL CHANGE	3.7	9	B	2	HS	C	Proficient	High School	CLSO
In Good Standing	A	0	A	3.47	82.6	Alicia Perez Katz	49.1	02M411	A	BARUCH COLLEGE CAMPUS HIGH SCHOOL	12.5	21	A	2	HS	A	Well Developed	High School	ESO
In Good Standing	A	2	B	3.31	77.2	Brooke Jackson	43.3	02M412	A	N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES	7.8	24.1	A	2	HS	A	Proficient	High School	ESO
In Good Standing	B	2.25	A	3.54	61.4	Stacy Paige Goldstein	31.7	02M413	B	SCHOOL OF THE FUTURE HIGH SCHOOL	9.9	17.5	B	2	ESMS	B	Well Developed	Middle School	CLSO
In Good Standing	A	4	A	2.75	81.5	Stacy Paige Goldstein	45.5	02M413	B	SCHOOL OF THE FUTURE HIGH SCHOOL	10.8	21.2	A	2	HS	A	Well Developed	High School	CLSO
In Good Standing	A	6	C	2.79	74.7	Darlene Miller	45.4	02M414	A	N.Y.C. MUSEUM SCHOOL	4.5	18.8	A	2	HS	A	Proficient	High School	ICI
In Good Standing	A	0	A	3.51	79.1	Susan Elliott	47.2	02M416	A	ELEANOR ROOSEVELT HIGH SCHOOL	11.5	20.4	A	2	HS	A	Proficient	High School	ESO
In Good Standing	A	2	A	3.19	77.1	Robert Rhodes	45	02M418	B	MILLENNIUM HIGH SCHOOL	12.3	17.8	A	2	HS	A	Well Developed	High School	New Visions
In Need of Improvement - Year 2	B	4	B	2.08	56.5	Trevor Naidoo	33	02M419	A	LANDMARK HIGH SCHOOL	8	11.5	B	2	HS	B	Well Developed	High School	ESO
In Good Standing	B	5	B	2.86	50.7	Marta Jimenez	27.2	02M420	C	HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES	5.7	12.8	B	2	HS	B	Well Developed	High School	CLSO
In Good Standing	C	0	B	2.33	39.1	Frank Brancato	21.1	02M425	F	LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL	6.4	11.6	C	2	HS	B	Proficient	High School	ESO
Planning for Restructuring	C	1	B	1.96	42.5	Gregory Rodrigues	27.4	02M429	F	LEGACY SCHOOL FOR INTEGRATED STUDIES	8.6	5.5	B	2	HS	F	Proficient	High School	ICI
In Good Standing	A	6	A	2.85	87.2	Hector Geager	53.8	02M439	A	MANHATTAN VILLAGE ACADEMY	11.5	15.9	A	2	HS	B	Well Developed	High School	CLSO
In Corrective Action	F	2	F	2.10	28.5	John Angelet	16.6	02M440		BAYARD RUSTIN EDUCATIONAL COMPLEX	1.8	8.1	F	2	HS	C	Proficient	High School	ESO
In Good Standing	B	0	B	33.42	62.7	John Treadwell	32.8	02M442	A	BALLET TECH NYC PUBLIC SCHOOL FOR DANCE	10.3	19.6	B	2	ESMS	A	Well Developed	K-8	CLSO
In Good Standing	A	6	A	2.03	64.2	Louis Delgado	34	02M449	B	VANGUARD HIGH SCHOOL	12.5	11.7	B	2	HS	B	Well Developed	High School	ESO
In Good Standing	B	5	A	2.53	59.1	Alan Krull	32.5	02M459	B	MANHATTAN INTERNATIONAL HIGH SCHOOL	11	10.6	B	2	HS	B	Proficient	High School	ESO
Restructuring - Year 1	F	0	F	2.05	26	Denise Dicarlo	18.1	02M460	F	WASHINGTON IRVING HIGH SCHOOL	1.5	6.4	D	2	HS	D	Proficient	High School	ESO
In Good Standing	A	0	A	4.05	68.9	Stanley Teitel	38	02M475	A	STUYVESANT HIGH SCHOOL	9.1	21.8	A	2	HS	A	Well Developed	High School	ICI
In Good Standing	B	1	B	2.73	51.3	Michael Frank Stanzione	29.5	02M489	B	HIGH SCHOOL OF ECONOMICS AND FINANCE	5.6	15.2	B	2	HS	B	Well Developed	High School	CLSO
In Good Standing	B	1	B	1.85	48.6	Fausto De La Rosa	29.5	02M500	C	UNITY CENTER FOR URBAN TECHNOLOGIES	7.2	10.9	B	2	HS	B	Underdeveloped with Proficient Features	High School	CLSO
In Good Standing	A	3	A	3.08	71.6	Deena Forman	41.6	02M519	B	TALENT UNLIMITED HIGH SCHOOL	9.2	17.8	A	2	HS	A	Well Developed	High School	ESO
Planning for Restructuring	C	3	C	2.40	38.5	Barbara Esmilla	17.9	02M520	C	MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS	4.7	12.9	D	2	HS	B	Proficient	High School	CLSO
In Good Standing	B	3	B	2.42	51	Edward Demeo	27.3	02M529	C	JACQUELINE KENNEDY ONASSIS HIGH SCHOOL	5.6	15.1	B	2	HS	B	Proficient	High School	CLSO
In Good Standing	A	3	A	2.55	65.2	Michael Mehmet Jr.	37.6	02M531	B	REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS	10.3	14.3	A	2	HS	B	Well Developed	High School	ESO
In Good Standing	A	9	A	2.06	97.8	Mirza Sanchez Medina	51.4	02M542	A	MANHATTAN BRIDGES HIGH SCHOOL	12.4	25	A	2	HS	A	Well Developed	High School	New Visions
In Good Standing	A	7	A	2.22	70.8	Scott Conti	35.8	02M543	B	NEW DESIGN HIGH SCHOOL	10.2	17.8	A	2	HS	A	Proficient	High School	ESO
In Good Standing	A	7.5	A	2.34	61.7	Ron Smolkin	26.3	02M544	C	INDEPENDENCE HIGH SCHOOL	15	12.9	B	2	HS	B	Proficient	Transfer School	ESO
In Good Standing	A	2	A	3.12	70.9	Li Yan	35.6	02M545	A	HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES	10.2	23.1	A	2	HS	A	Well Developed	High School	ESO
